c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
Glycolysis / Gluconeogenesis	0	0	0	0	0	0	0	0	0.0158	0	0
Citrate cycle (TCA cycle)	0	0	0	0	0	0	0	0	0	0	0
Pentose phosphate pathway	0	0	0	0	0	0	0	0	0	0	0
Pentose and glucuronate interconversions	0	0	0	0	0	0	0	0	0	0	0
Fructose and mannose metabolism	0	0	0	0	0	0	0	0	0	0	0
Galactose metabolism	0	0	0	0	0	0	0	0	0.0344	0	0
Ascorbate and aldarate metabolism	0	0	0	0	0	0	0	0.0394	0	0	2e-04
Starch and sucrose metabolism	0	0	0	0	0	0	0.0676	0.0766	0.0128	0	0
Amino sugar and nucleotide sugar metabolism	0	0	0	0	0	0	0	0	2e-04	0	0
Pyruvate metabolism	0	0	0	0	0	0	0	0	0	0	0
Glyoxylate and dicarboxylate metabolism	0	0	0	0	0	0	0	0	0	0	0
Propanoate metabolism	0	0	0	0	0	0	0	0	0	0	0
Butanoate metabolism	0	0	0	0	0	0	0	0	0	0	0
Inositol phosphate metabolism	0	0	0	0	0	0	0	0.3794	2e-04	0	0
Oxidative phosphorylation	0	0	0	0	0	0	0	0	0	0	0
Nitrogen metabolism	0	0	0	0	0	0	0	0.0198	0.2834	0	0
Sulfur metabolism	0	0	0	0	0	0	0	0	0.1872	0	0
Fatty acid biosynthesis	0	0	0	0	0	0	0	0	0.1672	0	0
Fatty acid elongation	0	0	0	0	0	0	0	0	0	0	0
Fatty acid degradation	0	0	0	0	0	0	0	0	0	0	0
