Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Amyotrophic lateral sclerosis	197/364	1.05510108425222e-31	3.36577245876458e-29	3.53604029725565	252.213382880345	BAD;NUP210;ATG13;MAPK11;MAPK12;NUP93;PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;PFN1;TP53;NUP205;UQCR10;PSMD9;ACTB;PSMD7;PSMD8;PSMD6;NUP85;PSMD3;PSMD4;PSMD1;PSMD2;NUP88;SIGMAR1;COX8A;DAXX;RAB39B;POM121;WDR41;GLE1;NUP62;SEC13;NDC1;TUBB;ATP5F1D;ATP5F1E;COX6C;TOMM40L;COX7B;ACTR1A;ATG101;ATP5PF;ATP5PD;ATP5PB;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;HNRNPA2B1;PSMA2;PSMA3;NDUFAB1;PSMA1;ATP5PO;COX5A;TOMM40;NDUFA12;NDUFA13;NDUFA10;NDUFA11;NUP188;COX5B;PSMA8;PSMB7;ATP5F1A;ATP5F1B;PSMB5;TUBA1C;ATP5F1C;PSMB6;TUBA1B;PSMB3;PSMB4;PSMB1;PSMB2;RAB8A;RAC1;NEFH;BID;ALYREF;SDHD;SDHB;SDHC;SDHA;TUBA8;UQCRQ;SRSF3;SRSF7;NDUFB11;NDUFB10;NUP160;COX6A1;TUBB6;KIF5C;TUBB3;RAE1;NDUFV2;NDUFV1;MAP2K3;CHCHD10;NUP153;NUP155;TRAF2;EIF2S1;SEM1;DNAL1;DNAL4;VCP;ACTG1;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;TPR;CYC1;APAF1;GPX7;NCBP1;EIF2AK3;WIPI1;NDUFC2;WIPI2;NDUFC1;NUP50;NDUFS8;NDUFS7;NUP54;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NUP58;CYCS;NDUFS2;NDUFS1;MCU;PSMD11;NDUFB9;PSMD13;SEH1L;NDUFB8;PSMD12;NDUFB7;NDUFB6;PSMD14;NDUFB5;NDUFB4;NDUFB3;ITPR3;NDUFB2;PIK3R4;NDUFB1;KLC2;CASP9;NUP43;UQCRFS1;CASP3;DNAI2;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;MTOR;SOD1;UQCRHL;VAPB;ALS2;NUP35;MATR3;VDAC1;NUP37;BECN1;DCTN6;NUP107;NXT1;NXT2;DCTN3;DCTN2;DCTN5;HNRNPA3;HNRNPA1	1	KEGG_2021_Human
Parkinson disease	147/249	2.59242993260875e-29	4.13492574251096e-27	4.29535647390758	282.730551968889	TRAP1;PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;CALM3;TP53;CALM1;UQCR10;UBE2L6;UBE2L3;PSMD9;PSMD7;PSMD8;PSMD6;PSMD3;PSMD4;PSMD1;PSMD2;COX8A;DAXX;TXN;UBE2J2;PRKACA;TUBB;ATP5F1D;ATP5F1E;COX6C;UBE2G1;COX7B;UCHL1;ATP5PF;ATP5PD;ATP5PB;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;ATP5PO;COX5A;NDUFA12;NDUFA13;NDUFA10;NDUFA11;COX5B;GNAI2;PSMA8;GNAI3;PSMB7;ATP5F1A;ATP5F1B;PSMB5;TUBA1C;ATP5F1C;PSMB6;TUBA1B;PSMB3;PSMB4;PSMB1;PSMB2;SDHD;SDHB;SDHC;SDHA;TUBA8;UQCRQ;PPIF;NDUFB11;NDUFB10;PARK7;COX6A1;TUBB6;KIF5C;TUBB3;NDUFV2;NDUFV1;EIF2S1;SEM1;UBA1;TXN2;ATP5MC3;HTRA2;COX7A2;ATP5MC1;ATP5MC2;UQCRH;CYC1;APAF1;EIF2AK3;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;CYCS;NDUFS2;NDUFS1;MCU;PSMD11;NDUFB9;PSMD13;SLC25A4;NDUFB8;PSMD12;NDUFB7;NDUFB6;PSMD14;NDUFB5;NDUFB4;NDUFB3;ITPR3;NDUFB2;NDUFB1;KLC2;CASP9;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UQCRHL;VDAC3;VDAC2;VDAC1;SLC25A5;MAPK9	2	KEGG_2021_Human
Huntington disease	166/306	4.7029507943484e-27	5.00080434465714e-25	3.53843241524811	214.505460584364	ATG13;PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;TFAM;TP53;UQCR10;PSMD9;PSMD7;PSMD8;CREB3L4;PSMD6;PSMD3;CREB3L3;PSMD4;PSMD1;AP2S1;PSMD2;COX8A;TUBB;ATP5F1D;ATP5F1E;COX6C;COX7B;CLTC;CLTB;CLTA;ACTR1A;ATG101;ATP5PF;ATP5PD;ATP5PB;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;ATP5PO;COX5A;NDUFA12;NDUFA13;NDUFA10;NDUFA11;AP2A1;COX5B;PSMA8;PSMB7;ATP5F1A;ATP5F1B;PSMB5;TUBA1C;ATP5F1C;PSMB6;TUBA1B;PSMB3;PSMB4;PSMB1;PSMB2;SDHD;SDHB;SDHC;SDHA;TUBA8;UQCRQ;PPIF;NDUFB11;NDUFB10;COX6A1;TUBB6;KIF5C;TUBB3;NDUFV2;NDUFV1;TRAF2;SEM1;DNAL1;DNAL4;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;CYC1;AP2M1;APAF1;GPX7;WIPI1;NDUFC2;WIPI2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;CYCS;NDUFS2;NDUFS1;PSMD11;NDUFB9;PSMD13;SLC25A4;NDUFB8;PSMD12;NDUFB7;NDUFB6;PSMD14;NDUFB5;NDUFB4;NDUFB3;NDUFB2;PIK3R4;NDUFB1;KLC2;CASP9;UQCRFS1;CASP3;DNAI2;TBP;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;MTOR;SOD1;UQCRHL;VDAC3;VDAC2;VDAC1;SLC25A5;BECN1;DCTN6;DCTN3;HDAC1;DCTN2;HDAC2;DCTN5;MAPK9;POLR2C;POLR2D;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L	3	KEGG_2021_Human
Proteasome	44/46	4.25177649356272e-24	3.39079175361627e-22	64.6708785784798	3480.24427463575	ADRM1;PSMB9;PSMA6;PSMA7;PSMA4;PSMC6;PSMA5;SEM1;PSMA2;PSMC4;PSMA3;PSMC5;PSMC2;PSME4;IFNG;PSMA1;PSMC3;PSME2;PSMC1;PSME3;PSME1;PSMD11;PSMD13;PSMD12;POMP;PSMD14;PSMA8;PSMB10;PSMB7;PSMD9;PSMB8;PSMB5;PSMD7;PSMB6;PSMD8;PSMB3;PSMB4;PSMD6;PSMB1;PSMD3;PSMB2;PSMD4;PSMD1;PSMD2	4	KEGG_2021_Human
Prion disease	145/273	1.33058810806217e-22	8.48915212943665e-21	3.36899898015713	169.700693298296	BAD;MAPK11;MAPK12;PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;UQCR10;PSMD9;PSMD7;PSMD8;CREB3L4;PSMD6;PSMD3;CREB3L3;PSMD4;PSMD1;PSMD2;COX8A;CSNK2B;PRKACA;TUBB;ATP5F1D;ATP5F1E;COX6C;COX7B;STIP1;ATP5PF;ATP5PD;CSNK2A2;CSNK2A1;ATP5PB;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;ATP5PO;COX5A;NDUFA12;NDUFA13;NDUFA10;NDUFA11;COX5B;PSMA8;PSMB7;ATP5F1A;ATP5F1B;PSMB5;TUBA1C;ATP5F1C;PSMB6;TUBA1B;PSMB3;PSMB4;PSMB1;PSMB2;RAC1;RAC2;SDHD;SDHB;SDHC;SDHA;TUBA8;UQCRQ;PPIF;NDUFB11;NDUFB10;COX6A1;TUBB6;KIF5C;TUBB3;NDUFV2;NDUFV1;EIF2S1;SEM1;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;CYC1;APAF1;HSPA8;EIF2AK3;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;CYCS;NDUFS2;NDUFS1;MCU;PSMD11;NDUFB9;PSMD13;SLC25A4;NDUFB8;PSMD12;NDUFB7;NDUFB6;PSMD14;NDUFB5;NDUFB4;NDUFB3;ITPR3;NDUFB2;NDUFB1;KLC2;CASP9;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;SOD1;UQCRHL;VDAC3;VDAC2;VDAC1;SLC25A5;MAPK9;MAPK3;MAPK1	5	KEGG_2021_Human
Spliceosome	94/150	7.9739769791611e-22	4.23949776058732e-20	4.96542515311209	241.223773546553	PPIL1;ALYREF;CWC15;CHERP;WBP11;HNRNPM;PHF5A;SNRPA;HNRNPK;SRSF3;SRSF4;HNRNPC;SNRNP27;SNRPF;PPIH;SNRPG;SRSF6;SRSF7;SNRPE;PPIE;SNRPB;SRSF9;SNRPC;SF3B5;SF3B6;SF3B3;SF3B4;SRSF1;SRSF2;HNRNPU;EFTUD2;MAGOH;SNRPD3;SNRPD2;SNRPD1;DHX38;SF3B2;TXNL4A;PRPF38A;BUD31;LSM2;LSM6;LSM5;LSM4;LSM3;LSM8;SNW1;LSM7;PRPF4;TCERG1;PCBP1;ZMAT2;SNRNP70;DHX15;CCDC12;RBM17;NCBP2;HSPA8;NCBP1;CDC5L;PRPF40A;MAGOHB;PRPF19;RBM25;USP39;DDX46;RBM8A;DDX42;SNU13;U2AF1L5;PLRG1;CTNNBL1;SF3A2;SF3A3;THOC1;THOC3;U2SURP;SNRNP40;PRPF31;RP9;SNRPA1;EIF4A3;ISY1;DDX23;U2AF2;U2AF1;SART1;PUF60;TRA2B;SNRPB2;SRSF10;HNRNPA3;SMNDC1;HNRNPA1	6	KEGG_2021_Human
Oxidative phosphorylation	85/133	1.105893807428e-20	5.03971606527902e-19	5.23178327361996	240.405924208103	PPA1;SDHD;SDHB;SDHC;SDHA;PPA2;UQCRQ;UQCRC2;UQCRC1;ATP6V0D1;NDUFB11;NDUFB10;UQCR10;COX6A1;NDUFV2;NDUFV1;COX8A;ATP6V0B;ATP6V1B2;ATP6V1A;ATP6V1D;COX17;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;COX15;ATP6V1F;CYC1;ATP6V1C1;ATP6V0A2;COX10;NDUFC2;NDUFC1;ATP5F1D;ATP5F1E;COX6C;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;ATP5ME;NDUFB9;COX7B;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCRFS1;ATP5MG;ATP5MF;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6B1;UQCRHL;NDUFAB1;ATP5PO;COX5A;NDUFA12;NDUFA13;NDUFA10;NDUFA11;COX5B;ATP5F1A;ATP5F1B;ATP5F1C	7	KEGG_2021_Human
Thermogenesis	124/232	7.93169358230817e-20	3.16276281594538e-18	3.40482930272298	149.747236721418	ACSL4;SMARCA4;MAPK11;MAPK12;UQCRC2;UQCRC1;SMARCB1;UQCR10;ADCY3;ACTB;CREB3L4;CREB3L3;COX8A;ACTL6A;NDUFAF8;NDUFAF5;NDUFAF6;NDUFAF4;NDUFAF1;NDUFAF2;MLST8;DPF3;PRKACA;SIRT6;ATP5F1D;ATP5F1E;COX6C;ATP5ME;COX7B;ATP5MG;ATP5MF;ATP5PF;ATP5PD;ATP5PB;COX6B1;NDUFAB1;ATP5PO;COX5A;NDUFA12;NDUFA13;NDUFA10;NDUFA11;PRKAG1;COX5B;ATP5F1A;RPTOR;ATP5F1B;ATP5F1C;HRAS;SDHD;SDHB;SDHC;SDHA;UQCRQ;COX20;KDM1A;NDUFB11;NDUFB10;COX6A1;NRAS;NDUFV2;NDUFV1;MAP2K3;RHEB;COX17;COX16;COX19;ACTG1;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;COX15;COX14;CYC1;COX10;COA5;COA4;COA3;COA1;SMARCE1;NDUFC2;NDUFC1;NDUFS8;NDUFS7;AKT1S1;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;CPT2;UQCRFS1;COA7;COA6;NDUFA9;SMARCC1;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;MTOR;UQCRHL;RPS6KB2;KRAS;SMARCD2;SLC25A29;RPS6KA1;SLC25A20	8	KEGG_2021_Human
RNA transport	105/186	2.62632940505649e-19	9.30887866903355e-18	3.83656038132457	164.141594479362	UBE2I;EIF1AY;EIF1AX;ALYREF;UPF3B;NUP210;SRRM1;RPP25L;NUP93;CLNS1A;POP1;RPP25;RAN;NUP205;GEMIN2;GEMIN4;NUP160;MAGOH;NUP85;TGS1;NUP88;RAE1;RPP14;EIF2B5;EIF2B3;RPP40;NUP153;PYM1;NUP155;EIF2S2;EIF2S1;EIF5;EIF4G1;GEMIN6;RNPS1;GEMIN7;GEMIN8;EIF4G3;POP7;POM121;FMR1;POP5;EIF4EBP1;POP4;RPP30;PHAX;AAAS;GLE1;TPR;NUP62;EIF4EBP2;EIF2B2;EIF2B1;RPP38;EIF5B;UPF1;SEC13;NCBP2;ELAC2;NCBP1;NDC1;ELAC1;MAGOHB;DDX19A;DDX19B;NUP50;NUP54;NUP58;EIF4E2;SEH1L;STRAP;RBM8A;NUP43;SMN1;EIF4E;EIF3A;PRMT5;THOC1;TRNT1;THOC3;THOC6;THOC5;RANGAP1;THOC7;KPNB1;XPOT;EIF3J;NUP35;EIF3I;PABPC1L;EIF3B;NUP37;EIF3C;EIF4A3;EIF4A1;NUP107;NXT1;NXT2;DDX20;NUP188;XPO1;SUMO2;XPO5;SUMO1;SUMO3	9	KEGG_2021_Human
DNA replication	34/36	2.321940680274e-18	7.40699077007406e-17	49.8744827586207	2025.10989871082	RFC4;RFC5;RFC2;LIG1;RFC3;RFC1;RPA2;RPA3;RPA1;RNASEH1;POLA1;POLA2;POLE2;POLE3;POLE4;MCM4;MCM5;DNA2;MCM6;SSBP1;MCM7;RNASEH2A;MCM2;MCM3;PCNA;FEN1;RNASEH2C;RNASEH2B;PRIM2;PRIM1;POLE;POLD1;POLD2;POLD3	10	KEGG_2021_Human
