Gene	Expression
1	B2M	166.441410358776
2	RNR2	157.121043667423
3	TMSB4X	135.050145777154
4	MALAT1	130.051999512437
5	ACTB	127.545268877113
6	RPS27	105.011883988297
7	RPL41	104.36619122129
8	RPLP1	80.7864342505183
9	CCL5	77.1838907313963
10	EEF1A1	75.844843254274
11	HLA-C	75.6071533081209
12	RPL10	65.4546239359577
13	GNLY	64.538964157684
14	RPL28	62.8015343327227
15	HSPA1A	61.9651195744581
16	RPS19	56.5228283364583
17	RPS15A	56.255293264267
18	RPS12	55.6174138327823
19	COX1	54.1777191360651
20	RPL39	53.5625993840468
21	HLA-A	51.3055780758931
22	COX2	49.1746273639254
23	RPL13	48.7943749380927
24	FOS	48.7827241292224
25	JUN	47.8854803081199
26	DUSP1	46.6088505357967
27	DNAJB1	46.2611991435262
28	RPL30	45.5033145831081
29	RNR1	41.2707034155864
30	RPS3	40.7653766096028
31	RPS18	40.7265522235996
32	RPL32	40.6191262956043
33	TMSB10	38.7417754863701
34	RPL19	38.5541448932535
35	RPS4X	37.6748368804021
36	RPL11	37.1903704248277
37	RPL18A	36.1491160646317
38	CCL4	35.5280573518932
39	RPS27A	35.3795554065823
40	RPL34	34.8459026728439
41	JUNB	34.6189293702106
42	RPS26	34.4470112518816
43	RPS15	33.8821685496042
44	HSPA1B	32.9241092838803
45	PTMA	32.8279097907265
46	ND3	32.6616265029212
47	ACTG1	30.9746971554515
48	RPL26	30.8628618824576
49	SH3BGRL3	30.0454068998654
50	RPS24	29.8287509708061
51	NKG7	29.2857412640217
52	RPS21	29.2573700387032
53	GZMA	28.9937781173713
54	UBC	28.865809376724
55	RPL12	28.7926434142219
56	RPS23	28.6440655558182
57	RPS14	27.9169872924461
58	TPT1	27.7794143315117
59	GAPDH	27.6468087390207
60	PFN1	27.4550413202754
61	ZFP36	26.9467917631043
62	FAU	26.8340257997748
63	CD69	26.5117320491391
64	ATP6	26.4840360832213
65	RPS29	25.7576054345998
66	RPS7	25.5440690234559
67	RPS3A	25.3705505946014
68	RPL7A	25.2691096296142
69	RPL29	24.9243189950038
70	RPL35A	24.792205959169
71	RPL37	24.3366795797549
72	H3F3B	24.3163495352761
73	RPS8	24.2617277648153
74	RPL36	23.6285249671602
75	FTL	23.5582004975345
76	BTG1	23.219857225065
77	EIF1	23.1222089099445
78	RPS25	22.9495908312756
79	GZMB	22.6681152921845
80	RPL18	22.6073860501747
81	RPS13	22.2685382248851
82	RPL8	21.45449167576
83	CD74	21.1938209095381
84	CD7	21.1317809456132
85	ND4	20.9093959543075
86	ND4L	20.8979439603264
87	RPL3	20.5720087312739
88	RPL6	20.3672380051371
89	ATP8	20.1189562751625
