Gene	Expression
1	RNR2	240.859671537875
2	B2M	171.852377715854
3	MALAT1	149.116424440089
4	ACTB	112.957754248792
5	TMSB4X	100.670791228555
6	RPL41	92.3332859238725
7	RPS27	90.7297648802357
8	RPLP1	83.1404145439172
9	EEF1A1	78.9883338939147
10	HLA-C	73.5986766691637
11	RNR1	63.3175870962429
12	COX1	61.4092443221652
13	RPL10	60.987673931073
14	HSPA1A	59.6118038739321
15	COX2	57.1483085502815
16	RPL28	55.0409303475846
17	HLA-A	54.6071259864243
18	RPS19	54.4877964330549
19	RPL39	49.7406881891573
20	RPS15A	48.5131427324105
21	JUN	48.114697356761
22	DNAJB1	47.4166914602684
23	GAPDH	47.3546193201755
24	RPL13	45.2695338682379
25	RPS26	42.8954077655764
26	RPL30	42.6821820283487
27	DUSP1	41.1816140988347
28	RPS12	39.703221039705
29	RPL32	39.4123412181657
30	RPS18	37.7431643759396
31	CCL5	37.6507555177095
32	RPS3	36.3387940294157
33	RPL11	35.8209866369692
34	RPL19	35.7786752078375
35	RPS4X	35.2441668130035
36	ND3	34.4845518857146
37	PTMA	34.3556674970575
38	RPL34	34.1631891360111
39	HSPA1B	33.8748213387145
40	RPL18A	33.5716539995491
41	RPL12	32.3810740437713
42	FOS	32.1714016364578
43	TMSB10	32.001166056103
44	RPS15	31.9043984105293
45	RPS27A	31.8545381309222
46	ATP6	31.7644834225113
47	CD7	29.1048038780273
48	TPT1	28.8334102085128
49	GNLY	28.7779470250925
50	RPS23	28.567067315875
51	RPL26	28.1810246284117
52	ACTG1	27.943273000353
53	UBC	27.3053149464264
54	RPS24	26.7065297894551
55	RPS21	25.9377241709037
56	ND4L	25.810099866024
57	GZMA	25.7295148454293
58	RPS3A	25.5786412336719
59	RPL37	25.4606480681852
60	SH3BGRL3	25.1573972686045
61	FAU	24.6740145930506
62	RPL29	24.6459138103657
63	ND4	24.3817740714806
64	RPS13	24.0596436787549
65	RPL35A	24.0240283119906
66	RPS7	23.8887076845022
67	RPS8	23.8866033742318
68	ATP8	23.6038928485288
69	RPL18	23.5552484027637
70	JUNB	23.468066885836
71	RPL7A	23.451525418833
72	GZMB	23.4278682606182
73	RPS14	23.2124366949342
74	RPL36	23.0313394077237
75	CXCL13	22.9863084828701
76	RPL8	22.6761835119918
77	RPL6	22.6398654118103
78	RPS29	22.2968360148131
79	PFN1	22.2016918017602
80	CCL4	22.1491324606864
81	FTL	21.6433780734347
82	RPS25	21.4077499383187
83	RPL3	21.3376151546047
84	BTG1	20.8784300449735
85	EIF1	20.6636258280352
86	HSP90AA1	20.1438007102916
87	H3F3B	19.6690707799903
88	CD74	19.1070219298195
89	RPL15	18.7660901668275
90	RPS9	18.5590236198896
91	CYTB	18.4912509407285
92	RPS6	18.3075609017669
93	HSPA8	18.2721979964824
94	SRGN	18.2335326399298
95	COX3	18.099066816559
96	RPL14	17.5675944040132
97	FTH1	17.3758919513882
98	ALOX5AP	17.2689759509454
99	NKG7	17.1055841385828
100	FXYD5	16.8937927190905
101	CFL1	16.794962452206
102	HLA-H	16.6325693064028
103	CD3D	16.1862467147745
104	RGS1	16.1411500904946
105	SERF2	16.1169703191309
106	RPLP0	16.0514700371025
107	RPL5	16.0396371849847
108	CD69	15.905782670311
109	ZFP36	15.879586372121
110	CD3E	15.6278470065909
111	RPLP2	15.6264883852007
112	TSC22D3	15.4351489945571
113	RPL35	15.0302878109252
114	RPS5	14.6701786599152
115	IL32	14.3972810445008
116	RPS2	14.3092971416689
117	IFITM1	14.2580506038591
118	NACA	14.2455688971125
119	RPL24	13.7829796041308
120	LOC101929531	13.7740439434306
121	GNB2L1	13.6981080603827
122	ZFP36L2	13.4708279836712
123	S100A4	13.4707842019716
124	UBB	13.4205967372413
125	RPL9	12.6722864763571
126	PTPRCAP	12.5346619721699
127	HNRNPA1	12.2016792085622
128	SARAF	12.1422732514735
129	RPL23A	11.9777356328275
130	ATP5E	11.9754339465771
131	HSP90AB1	11.926934502055
132	RPSA	11.8456072094342
133	EEF1D	11.595860080321
134	RPL22	11.5256472186833
135	MYL6	11.4636172472487
136	DUSP2	11.3882753175887
137	PPIA	10.5344952401769
138	CRIP1	10.5155102399094
139	CD2	10.4340600780366
140	RPL10A	10.3243189310041
141	RAC2	10.3222031152452
142	RPS16	10.214796908647
143	MIF	10.1682721077074
144	PCBP2	10.1357491054505
145	ARHGDIB	10.0868892154756
146	HSPB1	10.0835274638835
147	PFDN5	9.94207594203033
148	MYL12A	9.89128141410245
149	UBA52	9.63106149417765
150	RPL27	9.46516954388087
151	LAPTM5	9.41890377206409
152	TMA7	9.37758436390231
153	PPP1R15A	9.35765877243631
154	PTPRC	9.29009347993931
155	RPL37A	9.26244782633603
156	HCST	9.1589935432945
157	PPDPF	9.13034935001437
158	COTL1	8.96016353547085
159	KLF6	8.76607423083366
160	CD8A	8.64908832751644
161	CORO1A	8.5746448292424
162	RHOA	8.51450430194835
163	VIM	8.51022041957498
164	DDX5	8.50465460441102
165	PNRC1	8.47023767357294
166	IFITM2	8.37315088723559
